index,stone_id,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32
0,101100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,0
1,101101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,110100
2,101102,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,110200
3,101110,0,0,1,15,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,0
4,101111,0,0,1,15,5,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,110100
5,101112,0,0,1,15,10,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,110200
6,101200,0,0,2,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,0
7,101201,0,0,2,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,110100
8,101202,0,0,2,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,110200
9,101210,0,0,2,40,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,0
10,101211,0,0,2,40,10,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,110100
11,101212,0,0,2,40,25,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,110200
12,101220,0,0,2,55,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,0
13,101221,0,0,2,55,25,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,110100
14,101222,0,0,2,55,40,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,110200
15,101300,0,0,3,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,0
16,101301,0,0,3,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,110100
17,101302,0,0,3,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,110200
18,101310,0,0,3,70,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,112000
19,101311,0,0,3,70,20,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,112100
20,101312,0,0,3,70,45,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,112200
21,101320,0,0,3,85,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,112000
22,101321,0,0,3,85,35,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,112100
23,101322,0,0,3,85,60,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,112200
24,101400,0,0,4,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,0
25,101401,0,0,4,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,110100
26,101402,0,0,4,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,110200
27,101410,0,0,4,100,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,113000
28,101411,0,0,4,100,30,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,113100
29,101412,0,0,4,100,65,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,113200
30,101420,0,0,4,115,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,113000
31,101421,0,0,4,115,45,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,113100
32,101422,0,0,4,115,80,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,113200
33,101430,0,0,4,125,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,113000
34,101431,0,0,4,125,55,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,113100
35,101432,0,0,4,125,90,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,113200
36,101500,0,0,5,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,0
37,101501,0,0,5,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,110100
38,101502,0,0,5,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,110200
39,101510,0,0,5,140,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,114000
40,101511,0,0,5,140,60,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,114100
41,101512,0,0,5,140,100,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,114200
42,101520,0,0,5,155,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,114000
43,101521,0,0,5,155,75,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,114100
44,101522,0,0,5,155,115,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,114200
45,101530,0,0,5,170,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,115000
46,101531,0,0,5,170,90,0,0,0,0,0,0,0,0,0,343,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,115100
47,101532,0,0,5,170,130,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,115200
48,101540,0,0,5,185,0,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,115000
49,101541,0,0,5,185,105,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,115100
50,101542,0,0,5,185,145,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,115200
51,102100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,0
52,102101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,120100
53,102102,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,120200
54,102110,0,0,1,15,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,0
55,102111,0,0,1,15,0,5,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,120100
56,102112,0,0,1,15,0,10,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,120200
57,102200,0,0,2,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,0
58,102201,0,0,2,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,120100
59,102202,0,0,2,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,120200
60,102210,0,0,2,40,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,0
61,102211,0,0,2,40,0,10,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,120100
62,102212,0,0,2,40,0,25,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,120200
63,102220,0,0,2,55,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,0
64,102221,0,0,2,55,0,25,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,120100
65,102222,0,0,2,55,0,40,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,120200
66,102300,0,0,3,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,0
67,102301,0,0,3,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,120100
68,102302,0,0,3,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,120200
69,102310,0,0,3,70,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,122000
70,102311,0,0,3,70,0,20,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,122100
71,102312,0,0,3,70,0,45,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,122200
72,102320,0,0,3,85,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,122000
73,102321,0,0,3,85,0,35,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,122100
74,102322,0,0,3,85,0,60,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,122200
75,102400,0,0,4,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,0
76,102401,0,0,4,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,120100
77,102402,0,0,4,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,120200
78,102410,0,0,4,100,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,123000
79,102411,0,0,4,100,0,30,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,123100
80,102412,0,0,4,100,0,65,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,123200
81,102420,0,0,4,115,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,123000
82,102421,0,0,4,115,0,45,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,123100
83,102422,0,0,4,115,0,80,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,123200
84,102430,0,0,4,125,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,123000
85,102431,0,0,4,125,0,55,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,123100
86,102432,0,0,4,125,0,90,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,123200
87,102500,0,0,5,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,0
88,102501,0,0,5,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,120100
89,102502,0,0,5,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,120200
90,102510,0,0,5,140,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,124000
91,102511,0,0,5,140,0,60,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,124100
92,102512,0,0,5,140,0,100,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,124200
93,102520,0,0,5,155,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,124000
94,102521,0,0,5,155,0,75,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,124100
95,102522,0,0,5,155,0,115,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,124200
96,102530,0,0,5,170,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,125000
97,102531,0,0,5,170,0,90,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,125100
98,102532,0,0,5,170,0,130,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,125200
99,102540,0,0,5,185,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,125000
100,102541,0,0,5,185,0,105,0,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,125100
101,102542,0,0,5,185,0,145,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,8,125200
102,103100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,0
103,103101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,130100
104,103102,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,130200
105,103110,0,0,1,15,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,0
