face_id,name,value,group
110,male_face_M0110,3.0,1
111,male_face_M0111,0.10000000149011612,1
112,male_face_M0112,0.05000000074505806,1
120,male_face_M0120,3.0,1
121,male_face_M0121,0.10000000149011612,1
122,male_face_M0122,0.05000000074505806,1
130,male_face_M0130,3.0,1
131,male_face_M0131,0.10000000149011612,1
132,male_face_M0132,0.05000000074505806,1
210,male_face_M0210,3.0,1
211,male_face_M0211,0.10000000149011612,1
212,male_face_M0212,0.05000000074505806,1
220,male_face_M0220,3.0,1
221,male_face_M0221,0.10000000149011612,1
222,male_face_M0222,0.05000000074505806,1
230,male_face_M0230,3.0,1
231,male_face_M0231,0.10000000149011612,1
232,male_face_M0232,0.05000000074505806,1
310,male_face_M0310,3.0,1
311,male_face_M0311,0.10000000149011612,1
312,male_face_M0312,0.05000000074505806,1
320,male_face_M0320,3.0,1
321,male_face_M0321,0.10000000149011612,1
322,male_face_M0322,0.05000000074505806,1
330,male_face_M0330,3.0,1
331,male_face_M0331,0.10000000149011612,1
332,male_face_M0332,0.05000000074505806,1
410,male_face_M0410,3.0,1
411,male_face_M0411,0.10000000149011612,1
412,male_face_M0412,0.05000000074505806,1
420,male_face_M0420,3.0,1
421,male_face_M0421,0.10000000149011612,1
422,male_face_M0422,0.05000000074505806,1
430,male_face_M0430,3.0,1
431,male_face_M0431,0.10000000149011612,1
432,male_face_M0432,0.05000000074505806,1
510,male_face_M0510,3.0,1
511,male_face_M0511,0.10000000149011612,1
512,male_face_M0512,0.05000000074505806,1
520,male_face_M0520,3.0,1
521,male_face_M0521,0.10000000149011612,1
522,male_face_M0522,0.05000000074505806,1
530,male_face_M0530,3.0,1
531,male_face_M0531,0.10000000149011612,1
532,male_face_M0532,0.05000000074505806,1
110,female_face_F0110,3.0,2
111,female_face_F0111,0.10000000149011612,2
112,female_face_F0112,0.05000000074505806,2
120,female_face_F0120,3.0,2
121,female_face_F0121,0.10000000149011612,2
122,female_face_F0122,0.05000000074505806,2
130,female_face_F0130,3.0,2
131,female_face_F0131,0.10000000149011612,2
132,female_face_F0132,0.05000000074505806,2
210,female_face_F0210,3.0,2
211,female_face_F0211,0.10000000149011612,2
212,female_face_F0212,0.05000000074505806,2
220,female_face_F0220,3.0,2
221,female_face_F0221,0.10000000149011612,2
222,female_face_F0222,0.05000000074505806,2
230,female_face_F0230,3.0,2
231,female_face_F0231,0.10000000149011612,2
232,female_face_F0232,0.05000000074505806,2
310,female_face_F0310,3.0,2
311,female_face_F0311,0.10000000149011612,2
312,female_face_F0312,0.05000000074505806,2
320,female_face_F0320,3.0,2
321,female_face_F0321,0.10000000149011612,2
322,female_face_F0322,0.05000000074505806,2
330,female_face_F0330,3.0,2
331,female_face_F0331,0.10000000149011612,2
332,female_face_F0332,0.05000000074505806,2
410,female_face_F0410,3.0,2
411,female_face_F0411,0.10000000149011612,2
412,female_face_F0412,0.05000000074505806,2
420,female_face_F0420,3.0,2
421,female_face_F0421,0.10000000149011612,2
422,female_face_F0422,0.05000000074505806,2
430,female_face_F0430,3.0,2
431,female_face_F0431,0.10000000149011612,2
432,female_face_F0432,0.05000000074505806,2
510,female_face_F0510,3.0,2
511,female_face_F0511,0.10000000149011612,2
512,female_face_F0512,0.05000000074505806,2
520,female_face_F0520,3.0,2
521,female_face_F0521,0.10000000149011612,2
522,female_face_F0522,0.05000000074505806,2
530,female_face_F0530,3.0,2
531,female_face_F0531,0.10000000149011612,2
532,female_face_F0532,0.05000000074505806,2
