index,product_id,category_id
0,28,6
1,29,6
2,30,6
3,31,6
4,32,6
5,33,6
6,37,6
7,38,6
8,39,6
9,40,6
10,41,6
11,42,6
12,43,6
13,44,6
14,20,6
15,21,6
16,22,6
17,23,6
18,24,6
19,25,6
20,26,6
21,27,6
22,34,6
23,35,6
24,36,6
25,45,6
26,47,6
27,48,6
28,49,6
29,50,6
30,51,6
31,52,6
32,53,6
33,54,6
34,55,6
35,56,6
36,57,6
37,58,6
38,59,6
39,60,6
40,61,6
41,62,6
42,63,6
43,64,6
44,66,6
45,68,6
46,58,7
47,59,7
48,60,7
49,61,7
50,62,7
51,63,7
52,64,7
53,66,7
54,20,8
55,21,8
56,22,8
57,23,8
58,24,8
59,25,8
60,26,8
61,27,8
62,34,8
63,35,8
64,36,8
65,45,8
66,47,8
67,48,8
68,49,8
69,50,8
70,51,8
71,52,8
72,53,8
73,54,8
74,55,8
75,56,8
76,57,8
77,68,8
78,28,9
79,29,9
80,30,9
81,31,9
82,32,9
83,33,9
84,37,9
85,38,9
86,39,9
87,40,9
88,41,9
89,42,9
90,43,9
91,44,9
92,69,6
93,70,6
94,71,6
95,72,6
96,73,6
97,74,4
98,75,4
99,76,4
100,77,4
101,78,4
102,79,4
103,80,4
104,81,4
105,82,4
106,83,4
107,84,4
108,85,4
109,86,4
110,87,4
111,88,4
112,89,4
113,90,4
114,91,4
115,92,4
116,93,4
117,94,4
118,95,4
119,96,4
120,97,4
121,98,4
122,99,4
123,100,4
124,101,4
125,102,4
126,103,4
127,104,4
128,105,4
129,106,4
130,107,4
131,108,4
132,109,4
133,110,4
134,111,4
135,112,4
136,113,4
137,114,4
138,115,4
139,116,4
140,117,4
141,118,4
142,119,4
143,120,4
144,121,4
145,122,4
146,123,4
147,124,4
148,125,4
149,126,4
150,127,4
151,128,4
152,129,4
153,130,4
154,131,4
155,132,4
156,133,4
157,134,4
158,135,4
159,136,4
160,137,4
161,138,4
162,139,4
163,140,4
164,141,4
165,142,4
166,143,4
167,144,4
168,145,4
169,146,4
170,147,4
171,148,4
172,149,4
173,150,4
174,151,4
175,152,4
176,153,4
177,154,4
178,155,4
179,156,4
180,157,4
181,158,6
182,159,6
183,160,6
184,161,6
185,162,6
186,163,6
187,164,6
188,165,6
189,166,6
190,167,6
191,168,6
192,169,6
193,170,6
194,171,6
195,172,6
196,173,6
197,174,6
198,175,6
199,176,6
200,177,6
201,178,6
202,179,6
203,180,6
204,181,6
205,182,6
206,183,6
207,184,6
208,185,6
209,186,6
210,187,6
211,188,6
212,189,6
213,190,6
214,191,6
215,192,6
216,193,6
217,194,6
218,195,6
219,196,6
220,197,6
221,198,6
222,199,6
223,200,6
224,201,6
225,202,6
226,203,6
227,204,6
228,205,6
229,206,6
230,207,6
231,208,6
232,209,6
233,210,6
234,211,4
235,212,4
236,213,4
237,214,4
238,215,4
239,216,4
240,217,4
241,218,4
242,219,6
243,220,6
244,221,6
245,222,6
246,223,6
247,224,6
248,225,6
249,226,6
250,227,6
251,228,6
252,229,6
253,230,6
254,231,4
255,232,4
256,233,4
257,234,4
258,235,4
259,236,4
260,237,4
261,238,4
262,239,4
263,240,4
264,241,4
265,242,4
266,243,4
267,244,4
268,245,4
269,246,4
270,247,4
271,248,4
272,249,4
273,250,4
274,251,4
275,252,4
276,253,4
277,254,4
278,255,4
279,256,4
280,257,4
281,258,4
282,259,4
283,260,4
284,261,4
285,262,4
286,263,4
287,264,4
288,265,4
289,266,4
290,267,4
291,268,4
292,269,4
293,270,4
294,271,4
295,272,4
296,273,4
297,274,4
298,275,4
299,276,4
300,277,4
301,278,4
302,279,4
303,280,4
304,281,4
305,282,4
306,283,4
307,284,4
308,285,4
309,286,4
310,287,4
311,288,4
312,289,4
313,290,4
314,291,4
315,292,4
316,293,4
317,294,4
318,295,4
319,296,4
320,297,4
321,298,4
322,299,4
323,300,4
324,301,4
325,302,4
326,303,4
327,304,4
328,305,4
329,306,4
330,307,4
331,308,4
332,309,4
333,310,4
334,311,4
335,312,4
336,313,4
337,314,4
338,315,4
339,316,4
340,317,4
341,318,4
342,319,4
343,320,4
344,321,4
345,322,4
346,323,4
347,324,4
348,325,4
349,326,4
350,327,4
351,328,4
352,329,4
353,330,4
354,331,6
355,332,6
356,333,6
357,334,6
358,335,6
359,336,6
360,337,6
361,338,6
362,339,6
363,340,6
364,341,6
365,342,4
366,343,4
367,344,4
368,345,4
369,74,10
370,75,10
371,76,10
372,77,10
373,78,10
374,79,10
375,80,10
376,81,10
377,82,10
378,83,10
379,84,10
380,85,10
381,86,10
382,87,10
383,88,10
384,89,10
385,90,10
386,91,10
387,92,10
388,93,10
389,94,10
390,95,10
391,96,10
392,97,10
393,98,10
394,99,10
395,100,10
396,101,10
397,102,10
398,103,10
399,104,10
400,105,10
401,106,10
402,107,10
403,108,10
404,109,10
405,110,10
406,111,10
407,112,10
408,113,10
409,114,10
410,115,10
411,116,10
412,117,10
413,118,10
414,119,10
415,120,10
416,121,10
417,122,10
418,123,10
419,124,10
420,125,10
421,126,10
422,127,10
423,128,10
424,129,10
425,130,10
426,131,10
427,132,10
428,133,10
429,134,10
430,135,10
431,136,10
432,137,10
433,138,10
434,139,10
435,140,10
436,141,10
437,142,10
438,143,10
439,144,10
440,145,10
441,146,10
442,147,10
443,148,10
444,149,10
445,150,10
446,151,10
447,152,10
448,153,10
449,154,10
450,155,10
451,156,10
452,157,10
453,211,10
454,212,10
455,213,10
456,214,10
457,215,10
458,216,10
459,217,10
460,218,10
461,231,10
462,232,10
463,233,10
464,234,10
465,235,10
466,236,10
467,237,10
468,238,10
469,239,10
470,240,10
471,241,10
472,242,10
473,243,10
474,244,10
475,245,10
476,246,10
477,247,10
478,248,10
479,249,10
480,250,10
481,251,10
482,252,10
483,253,10
484,254,10
485,255,10
486,256,10
487,257,10
488,258,10
489,259,10
490,260,10
491,261,10
492,262,10
493,263,10
494,264,10
495,265,10
496,266,10
497,267,10
498,268,10
499,269,10
500,270,10
501,271,10
502,272,10
503,273,10
504,274,10
505,275,10
506,276,10
507,277,10
508,278,10
509,279,10
510,280,10
511,281,10
512,282,10
513,283,10
514,284,10
515,285,10
516,286,10
517,287,10
518,288,10
519,289,10
520,290,10
521,291,10
522,292,10
523,293,10
524,294,10
525,295,10
526,296,10
527,297,10
528,298,10
529,299,10
530,300,10
531,301,10
532,302,10
533,303,10
534,304,10
535,305,10
536,306,10
537,307,10
538,308,10
539,309,10
540,310,10
541,311,10
542,312,10
543,313,10
544,314,10
545,315,10
546,316,10
547,317,10
548,318,10
549,319,10
550,320,10
551,321,10
552,322,10
553,323,10
554,324,10
555,325,10
556,326,10
557,327,10
558,328,10
559,329,10
560,330,10
561,342,10
562,343,10
563,344,10
564,345,10
565,401,4
566,402,4
567,403,4
568,404,4
569,405,4
570,406,4
571,407,4
572,408,4
573,409,4
574,410,4
575,411,4
576,412,4
577,413,4
578,414,4
579,415,4
580,416,4
581,417,4
582,418,4
583,419,4
584,420,4
585,421,4
586,422,4
587,423,4
588,424,4
589,425,4
590,426,4
591,427,4
592,428,4
593,429,4
594,430,4
595,431,4
596,432,4
597,433,4
598,434,4
599,435,4
600,436,4
601,437,4
602,438,4
603,439,4
604,440,4
605,441,4
606,442,4
607,443,4
608,444,4
609,445,4
610,446,4
611,447,4
612,448,4
613,449,4
614,450,4
615,451,4
616,452,4
617,453,4
618,454,4
619,455,4
620,456,4
621,457,4
622,458,4
623,459,4
624,460,4
625,461,4
626,462,4
627,463,4
628,464,4
629,465,4
630,466,4
631,467,4
632,468,4
633,469,4
634,470,4
635,471,4
636,472,4
637,473,4
638,474,4
639,475,4
640,476,4
641,477,4
642,478,4
643,479,4
644,480,4
645,481,4
646,482,4
647,483,4
648,484,4
649,485,4
650,486,4
651,487,4
652,488,4
653,489,4
654,490,4
655,491,4
656,492,4
657,493,4
658,494,4
659,495,4
660,496,4
661,497,4
662,498,4
663,499,4
664,500,4
665,501,4
666,502,4
667,503,4
668,504,4
669,505,4
670,506,4
671,507,4
672,508,4
673,509,4
674,510,4
675,511,4
676,512,4
677,513,4
678,514,4
679,515,4
680,516,4
681,517,4
682,518,4
683,519,4
684,520,4
685,521,4
686,522,4
687,523,4
688,524,4
689,525,4
690,526,4
691,527,4
692,528,4
693,529,4
694,530,4
695,531,4
696,532,4
697,533,4
698,534,4
699,535,4
700,536,4
701,537,4
702,538,4
703,539,4
704,540,4
705,541,4
706,542,4
707,543,4
708,544,4
709,545,4
710,546,4
711,547,4
712,548,4
713,549,4
714,550,4
715,551,4
716,552,4
717,553,4
718,554,4
719,555,4
720,556,4
721,557,4
722,558,4
723,559,4
724,560,4
725,561,4
726,562,4
727,563,4
728,564,4
729,565,4
730,566,4
731,567,4
732,568,4
733,569,4
734,570,4
735,571,4
736,572,4
737,573,4
738,574,4
739,575,4
740,576,4
741,577,4
742,578,4
743,579,4
744,580,4
745,581,4
746,582,4
747,583,4
748,584,4
749,585,4
750,586,4
751,587,4
752,588,4
753,589,4
754,590,4
755,591,4
756,592,4
757,593,4
758,594,4
759,595,4
760,596,4
761,597,4
762,598,4
763,599,4
764,600,4
765,601,4
766,602,4
767,603,4
768,604,4
769,605,4
770,606,4
771,607,4
772,608,4
773,609,4
774,610,4
775,611,4
776,612,4
777,613,4
778,614,4
779,615,4
780,616,4
781,617,4
782,618,4
783,619,4
784,620,4
785,621,4
786,622,4
787,623,4
788,624,4
789,625,4
790,626,4
791,627,4
792,628,4
793,629,4
794,630,4
795,631,4
796,632,4
797,633,4
798,634,4
799,635,4
800,636,4
801,637,4
802,638,4
803,639,4
804,640,4
805,641,4
806,642,4
807,643,4
808,644,4
809,645,4
810,646,4
811,647,4
812,648,4
813,649,4
814,650,4
815,651,4
816,652,4
817,653,4
818,654,4
819,655,4
820,656,4
821,657,4
822,658,4
823,659,4
824,660,4
825,661,4
826,662,4
827,663,4
828,664,4
829,665,4
830,666,4
831,667,4
832,668,4
833,669,4
834,670,4
835,671,4
836,672,4
837,673,4
838,674,4
839,675,4
840,676,4
841,677,4
842,678,4
843,679,4
844,680,4
845,681,4
846,682,4
847,683,4
848,684,4
849,685,4
850,686,4
851,687,4
852,688,4
853,689,4
854,690,4
855,691,4
856,692,4
857,693,4
858,694,4
859,695,4
860,696,4
861,697,4
862,698,4
863,699,4
864,700,4
