index,skill_id,area_step,v2,v3
0,101011,1,0,0
1,101011,2,0,0
2,101032,1,0,0
3,101032,2,0,0
4,101032,2,0,-1
5,101032,2,-1,0
6,102031,1,0,0
7,102031,1,-1,0
8,102031,1,1,0
9,102031,2,0,0
10,102031,2,0,-1
11,102031,2,-1,0
12,103042,1,0,0
13,103042,1,-1,0
14,103042,1,1,0
15,103042,1,0,1
16,103042,2,0,0
17,103042,2,-1,0
18,103042,2,1,0
19,103042,2,0,1
20,104052,1,0,0
21,104052,1,-1,0
22,104052,1,1,0
23,104052,1,0,1
24,104052,1,0,-1
25,104052,2,0,0
26,104052,2,-1,0
27,104052,2,1,0
28,104052,2,0,1
29,104052,2,0,-1
30,105062,1,0,0
31,105062,1,-1,0
32,105062,1,1,0
33,105062,1,0,1
34,105062,1,-1,1
35,105062,1,1,1
36,105062,2,0,0
37,105062,2,-1,0
38,105062,2,1,0
39,105062,2,0,-1
40,105062,2,0,1
41,105062,2,1,1
42,106073,1,0,0
43,106073,1,-1,0
44,106073,1,1,0
45,106073,1,0,1
46,106073,1,-1,1
47,106073,1,1,1
48,106073,1,0,2
49,106073,2,0,0
50,106073,2,-1,0
51,106073,2,1,0
52,106073,2,0,1
53,106073,2,-1,1
54,106073,2,1,1
55,106073,2,0,2
56,107093,1,0,0
57,107093,1,-1,0
58,107093,1,1,0
59,107093,1,0,1
60,107093,1,-1,1
61,107093,1,1,1
62,107093,1,0,2
63,107093,1,-1,2
64,107093,1,1,2
65,107093,2,0,0
66,107093,2,-1,0
67,107093,2,1,0
68,107093,2,0,1
69,107093,2,-1,1
70,107093,2,1,1
71,107093,2,0,2
72,107093,2,-1,2
73,107093,2,1,2
74,108104,1,0,0
75,108104,1,-1,0
76,108104,1,1,0
77,108104,1,0,1
78,108104,1,-1,1
79,108104,1,1,1
80,108104,1,0,2
81,108104,1,-1,2
82,108104,1,1,2
83,108104,1,0,3
84,108104,2,0,0
85,108104,2,-1,0
86,108104,2,1,0
87,108104,2,0,1
88,108104,2,-1,1
89,108104,2,1,1
90,108104,2,0,2
91,108104,2,-1,2
92,108104,2,1,2
93,108104,2,0,3
94,109052,1,0,0
95,109052,1,-1,0
96,109052,1,1,0
97,109052,1,-1,-1
98,109052,1,1,-1
99,109052,2,0,0
100,109052,2,-1,0
101,109052,2,1,0
102,109052,2,-1,-1
103,109052,2,1,-1
104,110062,1,0,0
105,110062,1,-1,0
106,110062,1,1,0
107,110062,1,-1,-1
108,110062,1,1,-1
109,110062,1,0,1
110,110062,2,0,0
111,110062,2,-1,0
112,110062,2,1,0
113,110062,2,-1,-1
114,110062,2,1,-1
115,110062,2,0,1
116,111082,1,0,0
117,111082,1,-1,0
118,111082,1,1,0
119,111082,1,-1,-1
120,111082,1,1,-1
121,111082,1,0,1
122,111082,1,-1,1
123,111082,1,1,1
124,111082,2,0,0
125,111082,2,-1,0
126,111082,2,1,0
127,111082,2,-1,-1
128,111082,2,1,-1
129,111082,2,0,1
130,111082,2,-1,1
131,111082,2,1,1
132,112093,1,0,0
133,112093,1,-1,0
134,112093,1,1,0
135,112093,1,-1,-1
136,112093,1,1,-1
137,112093,1,0,1
138,112093,1,-1,1
139,112093,1,1,1
140,112093,1,0,2
141,112093,2,0,0
142,112093,2,-1,0
143,112093,2,1,0
144,112093,2,-1,-1
145,112093,2,1,-1
146,112093,2,0,1
147,112093,2,-1,1
148,112093,2,1,1
149,112093,2,0,2
150,113113,1,0,0
151,113113,1,-1,0
152,113113,1,1,0
153,113113,1,-1,-1
154,113113,1,1,-1
155,113113,1,0,1
156,113113,1,-1,1
157,113113,1,1,1
158,113113,1,0,2
